feature,mean_abs_coef
race_Asian or Pacific Islander,1.6955648859074577
race_American Indian/Alaska Native,1.2839502119124424
tumor_size,0.9107561640366355
sex_Male,0.8800618875564128
age_group_65-69 years,0.5528356248591285
ajcc_n_N1NOS,0.5126456295280309
sex_Female,0.4934478522163012
age_group_60-64 years,0.45539059631654233
ajcc_m_M0,0.4180809919696067
age_group_70-74 years,0.398318176649872
nodes_examined,0.39483552536471983
ajcc_n_N0(i+),0.39317162127795374
ajcc_t_Tis,0.3462908430688098
ajcc_t_T2,0.34425234217950706
primary_site_C50.1-Central portion of breast,0.31850878795899384
ajcc_t_T4a,0.3164184377058866
age_group_15-19 years,0.290175837555805
ajcc_n_N0(mol-),0.2744712533221285
ajcc_n_N3b,0.26834853381579804
ajcc_t_T3,0.2620817987347199
age_group_55-59 years,0.25544950724594956
primary_site_C50.0-Nipple,0.23561157466809146
ajcc_t_T1b,0.22753201874007514
age_group_75-79 years,0.2182293749605862
histology_8010,0.2002646840204096
ajcc_n_N0(i-),0.19961420508157557
ajcc_n_N1,0.19724394907116383
ajcc_t_T0,0.1845618042337682
primary_site_C50.2-Upper-inner quadrant of breast,0.1739817592607835
age_group_50-54 years,0.16560875227713445
age_group_85+ years,0.15425996359099525
ajcc_t_T4NOS,0.1385199147868025
year_dx,0.13513852317304972
ajcc_n_N3NOS,0.13031330635364893
ajcc_t_T4b,0.12972766074821396
ajcc_t_T4c,0.12357133056067068
age_group_20-24 years,0.11783019701411941
age_group_80-84 years,0.10912650495456216
grade_Well differentiated; Grade I,0.10688050364585391
ajcc_m_M1,0.1060306514469374
histology_8005,0.10294778258665124
ajcc_t_TX,0.07859076023756419
race_Unknown,0.07250329929214178
race_Black,0.07221065863530611
race_White,0.0599645199775197
histology_8530,0.05636062682487139
grade_Poorly differentiated; Grade III,0.05494973530752081
histology_8514,0.05201454391074263
histology_8550,0.05137721617860883
ajcc_n_N0,0.05090800793238406
age_group_45-49 years,0.049576244825223485
age_group_05-09 years,0.04957335080533369
histology_8021,0.048417004234024744
ajcc_n_N3a,0.045298978487551614
ajcc_n_NX,0.04336103131234625
ajcc_n_N2NOS,0.04325731093534611
ajcc_n_N1c,0.03576316594898128
histology_8540,0.031052728636688804
"primary_site_C50.9-Breast, NOS",0.028856455268983356
ajcc_t_T1a,0.024690625319982056
primary_site_C50.5-Lower-outer quadrant of breast,0.024327590031249083
ajcc_t_T4d,0.022909717161186657
histology_8201,0.020363545640450686
ajcc_n_N1mi,0.02028128475169845
age_group_10-14 years,0.015943555680288265
histology_8246,0.015408355288416657
primary_site_C50.3-Lower-inner quadrant of breast,0.014559751889204994
primary_site_C50.6-Axillary tail of breast,0.011621707891978441
histology_8004,0.01141597284401845
histology_8520,0.010899900603585247
ajcc_m_M0(i+),0.007060433195297948
primary_site_C50.8-Overlapping lesion of breast,0.006227586390219512
histology_8504,0.005200397584427739
histology_8000,0.004192623055461127
ajcc_t_T1c,0.0028098163146450935
histology_8524,0.001279529988327637
ajcc_n_N1b,0.0012589737900017134
histology_8562,0.00033070428908556335
histology_8574,0.0
histology_8035,0.0
histology_8033,0.0
ajcc_t_T1NOS,0.0
histology_8575,0.0
grade_Moderately differentiated; Grade II,0.0
histology_8041,0.0
grade_Unknown,0.0
grade_Undifferentiated; anaplastic; Grade IV,0.0
ajcc_t_T1mic,0.0
histology_9020,0.0
histology_8042,0.0
histology_8980,0.0
histology_8071,0.0
histology_8032,0.0
histology_8030,0.0
nodes_positive,0.0
age_group_25-29 years,0.0
age_group_30-34 years,0.0
age_group_35-39 years,0.0
age_group_40-44 years,0.0
ajcc_n_N3c,0.0
primary_site_C50.4-Upper-outer quadrant of breast,0.0
ajcc_n_N2b,0.0
ajcc_n_N2a,0.0
ajcc_n_N1a,0.0
ajcc_n_N0(mol+),0.0
histology_8001,0.0
histology_8572,0.0
histology_8012,0.0
histology_8013,0.0
histology_8020,0.0
histology_8022,0.0
histology_8573,0.0
histology_8046,0.0
histology_8571,0.0
histology_8570,0.0
histology_8344,0.0
histology_8343,0.0
histology_8341,0.0
histology_8323,0.0
histology_8315,0.0
histology_8314,0.0
histology_8310,0.0
histology_8260,0.0
histology_8255,0.0
histology_8251,0.0
histology_8249,0.0
histology_8247,0.0
histology_8243,0.0
histology_8240,0.0
histology_8230,0.0
histology_8211,0.0
histology_8200,0.0
histology_8147,0.0
histology_8141,0.0
histology_8140,0.0
histology_8123,0.0
histology_8082,0.0
histology_8074,0.0
histology_8401,0.0
histology_8430,0.0
histology_8440,0.0
histology_8513,0.0
histology_8560,0.0
histology_8072,0.0
histology_8543,0.0
histology_8541,0.0
histology_8050,0.0
histology_8525,0.0
histology_8523,0.0
histology_8522,0.0
histology_8521,0.0
histology_8070,0.0
histology_8512,0.0
histology_8460,0.0
histology_8510,0.0
histology_8507,0.0
histology_8503,0.0
histology_8502,0.0
histology_8501,0.0
histology_8500,0.0
histology_8490,0.0
histology_8481,0.0
histology_8480,0.0
histology_8470,0.0
histology_8453,0.0
