covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
Age,0.011746709950144109,1.0118159734880108,0.003598223915034296,0.004694320668366177,0.01879909923192204,1.0047053562530686,1.018976914807668,0.0,3.264585592092633,0.001096243359290101,9.833216181374754
Tumor_Size,0.0038783313448239017,1.003885861803892,0.001642363098308576,0.0006593588226014762,0.007097303867046327,1.0006595762474142,1.0071225494179115,0.0,2.3614335641236015,0.01820443340556858,5.779566350705947
Regional_Node_Examined,-0.011657436712891493,0.988410247937321,0.004151729836568942,-0.019794677666106986,-0.003520195759676001,0.9803999506486972,0.9964859928655635,0.0,-2.807850503713264,0.004987337329907571,7.647514498397358
Regional_Node_Positive,0.03352489883993651,1.0340931911265823,0.006771848753097213,0.020252319175113498,0.046797478504759515,1.0204587888655945,1.0479097633360703,0.0,4.950627230799176,7.397467675826065e-07,20.366465176817663
Race_Other,-0.3125732738472415,0.7315620226188018,0.1301190655828361,-0.5676019560916055,-0.05754459160287745,0.5668832208928379,0.9440797914166553,0.0,-2.402209641201672,0.016296366132347355,5.93930589079741
Race_White,-0.14563374722149616,0.8644742613111077,0.09338446456460711,-0.32866393448368303,0.037396440040690676,0.7198849045918676,1.0381044854566988,0.0,-1.5595072253237678,0.11887637580113367,3.072466056851055
Marital_Status_Separated,0.5273179636888801,1.6943818154983539,0.24675265876187374,0.04369163942610571,1.0109442879516544,1.0446601732063983,2.748194877459232,0.0,2.137030524148326,0.03259550901198944,4.939182985209658
Marital_Status_Single ,0.09667013930601874,1.1014969731325612,0.08677393755260096,-0.07340365309380685,0.2667439317058443,0.9292256694971953,1.3057060535969798,0.0,1.1140457841666902,0.265259545568904,1.9145234263217574
Marital_Status_Widowed,0.15323333442939951,1.1655969211072656,0.1265667999210091,-0.0948330350542653,0.40129970391306435,0.9095247805470209,1.4937648886021737,0.0,1.2106913860904527,0.2260137049650678,2.1455178377970796
T Stage _T2,0.13838521866481437,1.1484178570698418,0.07140975866973985,-0.0015753364725726027,0.2783457738022014,0.9984259037186033,1.320942865689707,0.0,1.9379034636544097,0.052635001324244444,4.247833705016712
T Stage _T3,0.10653891609644718,1.112421216694694,0.10600104256363709,-0.10121930965197883,0.3142971418448732,0.9037348133835292,1.369296551406987,0.0,1.005074228703809,0.31486110845760973,1.6672125276346066
T Stage _T4,0.433018731977344,1.5419051033615796,0.19167690928571182,0.05733889310939777,0.8086985708452902,1.059014642354272,2.244984396520883,0.0,2.2591074406979836,0.02387670241847036,5.388252588223272
N Stage_N2,0.2508187677941764,1.2850771658562468,0.09050783663154337,0.07342666767771638,0.4282108679106364,1.0761896142945129,1.534509625692402,0.0,2.771238128420387,0.005584357082582082,7.484393089389695
N Stage_N3,0.3470074862896243,1.4148273171378465,0.12592632119546934,0.10019643204088155,0.593818540538367,1.1053880303778163,1.8108901872542373,0.0,2.7556390355514426,0.005857760268372447,7.415435133217998
6th Stage_IIB,0.030587199605287302,1.0310597941359996,0.08523353780796573,-0.13646746477325855,0.19764186398383315,0.8724347046588062,1.2185259176496461,0.0,0.35886342855087605,0.7196972595275295,0.47453793003711003
6th Stage_IIIA,0.0980337792139503,1.103000042953672,0.08861542802366444,-0.07564926818703342,0.271716826614934,0.9271413274995911,1.312215364228102,0.0,1.1062834249107358,0.2686038636886729,1.8964480377601394
6th Stage_IIIB,0.2135815452437978,1.2381044556814174,0.24639088217382688,-0.2693357099359549,0.6964988004235505,0.7638867682198829,2.006714485643423,0.0,0.8668402960346465,0.38602951988655554,1.373216919504036
6th Stage_IIIC,0.34700748628962436,1.4148273171378467,0.12592632119546934,0.1001964320408816,0.5938185405383671,1.1053880303778165,1.8108901872542376,0.0,2.755639035551443,0.005857760268372425,7.415435133218003
differentiate_Poorly differentiated,0.1559185420622801,1.1687309967955193,0.0923579200883001,-0.025099654997816467,0.33693673912237665,0.9752127223639775,1.4006504545588188,0.0,1.6881989320808866,0.09137304816251926,3.4520875060703
differentiate_Undifferentiated,0.9081394855079586,2.4797047124020337,0.3404670461435481,0.24083633714386765,1.5754426338720497,1.2723127879227478,4.8328803412783135,0.0,2.66733446245211,0.007645554297536363,7.031163184865677
differentiate_Well differentiated,-0.24857501066938403,0.7799113569680066,0.11099324064862885,-0.46611776486808376,-0.031032256470684333,0.627433390085955,0.9694443017199783,0.0,-2.2395508881148682,0.025120094123937467,5.315014319817342
Grade_2,-0.02640544330466499,0.9739401320420282,0.08221734660205263,-0.18754848154913473,0.13473759493980475,0.8289889265387576,1.144236491508425,0.0,-0.3211663279827344,0.7480843479083229,0.41872714904116587
Grade_3,0.1559185420622801,1.1687309967955193,0.09235792008830009,-0.02509965499781644,0.33693673912237665,0.9752127223639775,1.4006504545588188,0.0,1.6881989320808868,0.09137304816251905,3.4520875060703036
A Stage_Regional,-0.19129331137929734,0.8258903095955464,0.16834973633007244,-0.5212527313930536,0.13866610863445894,0.5937762397224298,1.1487404814357065,0.0,-1.136285185527353,0.25583722883380117,1.966701877791161
Estrogen_Status_Positive,-0.56932999819857,0.5659044687234407,0.10999293792557424,-0.7849121950864453,-0.3537478013106947,0.4561597530949502,0.7020520016251843,0.0,-5.1760595628766835,2.2662113526307588e-07,22.073214247372107
Progesterone_Status_Positive,-0.38405551684341777,0.6810936139624024,0.081369168077291,-0.5435361557268944,-0.22457487795994113,0.5806912029710461,0.7988557577709611,0.0,-4.719914507158422,2.3594378682644123e-06,18.69312538824019
