feature,importance_mean,importance_std
age_group,0.07706714688451015,0.002981529067057702
nodes_positive,0.010865329062618093,0.00023402890509425248
ajcc_m,0.009885641803883813,0.001316296306721322
summary_stage,0.009531256197031731,0.0010601981064396978
surgery_type,0.007411163889719556,0.0006746621941301796
ajcc_t,0.005707036872894977,0.00043423955800019016
tumor_size,0.005100514432299123,0.0003613681609918896
ajcc_n,0.004650720639272003,0.000654394869670451
marital_status,0.004494726454721376,0.0009033753156992274
pr_status,0.0026992379989390822,0.0002392590033243981
nodes_examined,0.002650057779197542,0.00034706966919101573
radiation,0.002559329994608469,0.00036210342113477274
chemo,0.0023676063444125393,0.000292209442228302
er_status,0.002315574680012459,0.00039839066309024307
her2_status,0.002037918856698536,0.0003451574423100033
grade,0.0016466300834957852,0.00014303475117494633
race,0.0008704394851004974,5.726026552956789e-05
primary_site,0.0003069623378597619,0.00010376729976112464
year_dx,0.00025140957134347125,6.214280280357777e-05
histology,0.00022481048909965087,6.259026113718057e-05
sex,2.9148100953705718e-05,1.555518788289906e-05
laterality,-0.00010620911291181478,6.385417594237937e-06
